PTJ1,PTj2,Etaj1,Etaj2,phijj,MET,metphij1,metphij2,signal
214.614,26.8275,0.109858,0.0397966,-2.91493,186.071,3.15357,0.238632,0
173.224,49.8525,2.05676,0.806168,-2.53548,139.227,3.4329,0.89742,0
175.749,36.4438,1.9793,0.881371,-2.60406,139.67,3.28885,0.684799,0
211.101,28.7403,-0.822967,4.00919,-1.45961,219.479,-3.05194,-4.51155,0
180.378,83.2496,0.901347,-0.341468,-0.155123,253.875,-3.00321,-3.15834,0
137.133,46.3309,-0.95895,-2.37569,-1.68168,146.577,-2.65839,-4.34008,0
167.893,61.3265,-0.885087,-1.82057,-0.820726,200.883,-2.93811,-3.75884,0
199.32,26.2339,-2.6739,0.101119,2.43373,176.261,-3.22305,-0.789321,0
295.483,66.5723,-1.75187,-3.69895,1.9913,277.073,-3.32189,-1.3306,0
357.01,118.934,0.00416246,0.404526,-2.44601,234.976,3.32124,0.875233,0
152.243,34.1836,-2.11292,0.588697,-0.100816,186.062,-3.08159,-3.18241,0
149.19,127.307,2.10974,0.707156,1.74602,197.13,-3.94332,-2.1973,0
173.4,26.2442,2.75013,1.99884,1.00767,187.733,-3.22296,-2.2153,0
169.279,34.3698,-2.47592,-0.543437,2.0842,154.566,-3.17323,-1.08903,0
198.134,68.3746,-1.53168,0.0223013,-3.13944,135.499,3.08383,-0.055618,0
179.737,36.1161,0.58245,4.2854,-4.04869,147.499,2.78578,-1.26291,0
198.282,41.8075,0.154421,2.48362,-2.81736,165.554,3.25162,0.434254,0
163.619,65.2267,2.66363,2.68358,-4.29763,148.74,2.68947,-1.60816,0
171.763,27.9821,2.49122,2.07723,-0.639159,205.134,3.23588,2.59672,0
169.809,78.2278,-1.94188,3.65829,1.17865,210.433,2.81144,3.99009,0
334.733,209.269,1.46425,0.6789,-3.02223,138.76,-2.92517,-5.9474,0
239.191,47.6441,0.869823,-0.0699483,-2.78988,196.261,3.27702,0.48714,0
230.63,29.14,-1.87297,1.04633,1.17259,226.326,-3.28704,-2.11445,0
141.863,47.0976,1.76324,2.55158,-4.73684,148.028,2.81824,-1.9186,0
150.467,36.8193,0.665221,1.266,1.48717,136.624,2.71241,4.19957,0
166.651,27.862,-2.13038,2.31817,1.99909,148.174,-3.24297,-1.24388,0
131.113,45.2678,-0.782943,-4.20189,-0.859364,162.895,3.26961,2.41025,0
240.462,42.3813,1.20459,1.59952,0.563498,269.737,-3.18721,-2.62371,0
