PTJ1,PTj2,Etaj1,Etaj2,phijj,MET,metphij1,metphij2,signal
180.857,27.3098,-0.113007,1.06548,-3.70924,143.452,3.06009,-0.649151,1
174.093,33.5384,1.14885,2.49123,0.167635,184.889,-3.21588,-3.04824,1
282.821,242.903,0.349683,0.340584,0.937521,492.347,2.75761,3.69513,1
258.849,33.4528,-0.549596,4.17658,5.48112,277.671,-3.15899,2.32214,1
366.49,183.708,-2.02051,0.619411,-2.57546,231.02,-2.64749,-5.22295,1
131.042,25.6268,-2.32241,-3.25033,0.0951493,151.986,-3.37204,-3.2769,1
157.571,93.6092,-2.43866,-3.21279,-1.32716,203.052,3.52106,2.19389,1
224.306,29.2941,-2.31361,-2.2125,3.67473,200.163,-3.0432,0.63153,1
175.267,51.6499,-1.00099,-1.12081,-0.740243,185.497,3.41557,2.67533,1
173.103,29.969,-1.87946,-2.76747,0.205902,194.609,-2.98041,-2.77451,1
395.559,133.035,-0.753511,2.68762,2.81371,257.691,-3.221,-0.407294,1
438.029,30.6336,-1.41095,3.13744,4.61436,436.116,-3.11195,1.50241,1
172.315,32.8521,-1.53444,-3.63772,-0.853629,183.307,-3.00897,-3.8626,1
231.765,29.8793,-1.18515,-0.409305,1.67015,220.656,2.90591,4.57606,1
282.367,25.3566,-0.0478933,1.31632,0.749923,286.673,3.15472,3.90464,1
159.795,27.4204,-3.041,0.148472,-2.7103,157.918,2.9465,0.2362,1
181.642,37.8281,0.291121,-0.48113,1.70121,217.759,-3.41067,-1.70946,1
435.187,43.9777,-0.0291145,-2.39938,-3.38191,392.059,3.14391,-0.237998,1
216.191,56.9533,-1.39637,-4.02914,1.3453,239.199,-3.33191,-1.98661,1
458.952,90.2082,-0.125696,0.863099,4.40506,430.024,-2.96695,1.43811,1
201.876,33.5114,-0.262827,-3.21148,-2.18149,198.166,3.23113,1.04964,1
144.944,36.0942,-0.69057,-2.49203,-5.37711,167.413,2.94716,-2.42995,1
145.336,35.9933,-1.28236,4.34295,0.0727844,157.618,3.10157,3.17436,1
557.222,31.9856,1.16165,-1.43115,-0.325607,582.728,3.17083,2.84522,1
222.964,95.0064,0.69267,-1.82557,-3.99512,181.217,2.71587,-1.27925,1
193.534,35.243,0.297494,1.08788,3.10297,163.8,-3.18865,-0.08568,1
144.372,49.2069,-0.945894,1.94636,0.0353485,190.206,-3.12177,-3.08642,1
182.176,29.4025,-0.1988,-2.60875,-1.10759,196.272,3.30688,2.19929,1
167.674,42.8614,-0.274063,-1.74371,1.34744,194.108,2.96708,4.31452,1
177.496,28.4603,1.84511,-2.23778,-6.00862,223.684,3.19211,-2.81651,1
144.792,49.5723,2.54755,0.666456,0.803373,204.442,-3.32581,-2.52243,1
449.39,108.494,0.740444,-1.82349,-2.75802,353.012,3.25837,0.500344,1
130.73,30.6238,1.3351,2.85839,-0.764437,151.013,3.23115,2.46672,1
286.145,65.5558,0.692205,-0.540191,2.22276,243.639,-3.37627,-1.15351,1
271.389,68.6584,-0.223144,3.00896,0.99964,269.527,-3.33495,-2.33531,1
137.824,36.1494,1.09723,-1.3225,1.08493,143.088,-3.42823,-2.34329,1
192.396,34.2103,-3.38107,-3.09983,0.850573,192.466,2.98574,3.83631,1
132.914,56.7317,-0.0561399,-3.73553,-2.10869,136.018,-2.78558,-4.89427,1
721.32,43.3649,-0.681765,-0.886021,1.38183,709.828,3.09457,4.47641,1
237.769,28.6404,-0.242357,0.0645114,-1.70286,257.537,3.18024,1.47738,1
139.66,35.3769,2.7313,3.65535,-1.15176,133.949,3.28641,2.13465,1
174.637,35.447,-0.136517,-0.560009,-5.08304,171.867,2.93719,-2.14586,1
189.174,41.4602,-1.3891,-0.379186,-3.5747,154.46,3.26924,-0.305463,1
254.438,63.5043,-2.23056,-2.20317,-0.780738,292.993,3.27063,2.48989,1
209.806,27.6447,-2.07046,-1.04805,-0.762934,233.262,-2.99875,-3.76169,1
394.759,106.813,0.106382,-3.34397,-2.45678,311.221,3.42838,0.971603,1
131.469,77.6904,-1.55357,-0.269425,-0.69892,161.857,3.49145,2.79253,1
166.579,32.8885,-0.778529,3.59977,1.24211,172.625,-3.38252,-2.14041,1
177.395,53.9208,-1.06253,0.517627,0.955552,203.532,-3.25591,-2.30036,1
186.728,53.0901,-2.36788,-1.0478,-2.80673,133.971,3.23597,0.429241,1
209.308,25.8404,0.336116,3.95219,-2.04172,179.435,3.35416,1.31244,1
216.173,142.294,1.18914,-0.742228,-2.14272,165.593,3.91377,1.77105,1
186.898,30.581,-1.73838,1.37892,-2.06787,183.722,3.34868,1.28081,1
268.096,84.8837,-1.54416,0.501594,-0.0424473,370.411,-3.20982,-3.25227,1
300.32,121.047,0.730025,-3.55787,-1.48714,295.785,3.51722,2.03008,1
180.13,44.0544,1.2129,2.1951,-2.87407,166.095,3.38155,0.507487,1
159.353,82.0167,-1.03582,-3.02543,-4.40437,198.842,2.52532,-1.87905,1
313.596,53.0409,-1.12677,0.909694,-1.88025,304.541,3.29398,1.41373,1
201.907,35.007,-2.10877,-0.854342,0.479573,225.947,-3.15973,-2.68015,1
200.59,26.1153,1.57196,1.83503,-5.25356,190.521,3.03117,-2.22239,1
342.852,76.5336,0.00837374,0.00635119,3.34972,274.992,-2.97356,0.376155,1
151.302,32.0414,0.717181,-3.14988,-1.4193,166.837,-2.93416,-4.35346,1
200.781,47.7474,3.01809,0.188193,1.85673,193.853,-3.26725,-1.41052,1
332.215,35.8734,2.87728,2.30374,2.70505,300.432,-3.15124,-0.446192,1
261.023,81.4633,2.13132,2.61309,2.09838,231.054,-3.4932,-1.39482,1
188.304,68.8064,-0.000436263,1.64542,-1.92347,185.914,3.554,1.63053,1
164.37,148.118,-1.24287,1.43958,0.129575,320.869,3.07423,3.2038,1
156.451,29.0933,1.79479,-1.63685,-1.29754,174.04,3.25861,1.96107,1
175.777,63.2346,0.583824,1.58657,2.41251,143.709,2.58133,4.99384,1
206.001,95.1813,1.16387,-2.29665,-2.47694,130.38,3.30412,0.827186,1
290.467,30.0547,1.89286,4.83456,0.256893,312.243,-3.24615,-2.98926,1
232.759,72.9029,0.859446,-1.43879,-2.42807,174.278,3.53792,1.10985,1
394.343,63.1182,0.978081,0.149564,3.45132,337.135,-3.09773,0.353591,1
225.713,25.6802,-0.854193,0.0446038,2.9185,196.965,-3.2018,-0.283304,1
163.578,46.2184,2.1673,-1.29328,-1.81413,161.826,3.29018,1.47605,1
136.123,49.8323,2.63113,1.75355,-1.07892,157.76,-2.88295,-3.96187,1
268.618,41.1728,0.792683,1.75364,-0.99745,282.332,3.26934,2.27189,1
145.686,135.974,1.92797,-2.04313,0.657488,284.514,2.85456,3.51205,1
172.134,86.137,-0.244567,-1.43369,2.12207,142.07,-3.61438,-1.49231,1
236.883,35.9741,0.482182,1.76294,1.66997,226.056,-3.22487,-1.5549,1
153.476,75.0397,-2.08158,-4.42277,-3.9224,136.692,2.5601,-1.3623,1
169.372,38.8213,-2.37132,-3.18643,-2.68366,142.803,3.23807,0.554411,1
333.953,65.6169,2.23304,-1.8907,-4.73913,358.963,3.04032,-1.69881,1
139.814,31.1338,-0.421819,-2.67324,0.205801,178.344,-3.19559,-2.98978,1
207.002,28.2136,-2.90768,-3.57395,-2.05103,175.141,3.25418,1.20315,1
216.246,77.1778,2.70334,2.58,-0.860916,285.25,3.29949,2.43858,1
141.808,64.5117,0.152593,-0.205905,-1.82354,144.086,3.6884,1.86486,1
